axis,x,y,source_points,role
0.2,2397.647,8278.131,617,local_frozen_track_geometry_linked_by_relative_distance
0.2025,2409.446,8394.701,617,local_frozen_track_geometry_linked_by_relative_distance
0.205,2414.274,8468.177,617,local_frozen_track_geometry_linked_by_relative_distance
0.2075,2416.69,8563.514,617,local_frozen_track_geometry_linked_by_relative_distance
0.21,2419.305,8703.741,617,local_frozen_track_geometry_linked_by_relative_distance
0.2125,2420.0,8836.913,617,local_frozen_track_geometry_linked_by_relative_distance
0.215,2419.316,8965.583,617,local_frozen_track_geometry_linked_by_relative_distance
0.2175,2415.841,9144.679,617,local_frozen_track_geometry_linked_by_relative_distance
0.22,2410.685,9322.685,617,local_frozen_track_geometry_linked_by_relative_distance
0.2225,2407.508,9400.194,617,local_frozen_track_geometry_linked_by_relative_distance
0.225,2404.084,9468.152,617,local_frozen_track_geometry_linked_by_relative_distance
0.2275,2398.513,9592.846,617,local_frozen_track_geometry_linked_by_relative_distance
0.23,2390.787,9741.696,617,local_frozen_track_geometry_linked_by_relative_distance
0.2325,2378.741,9916.444,617,local_frozen_track_geometry_linked_by_relative_distance
0.235,2366.219,10081.409,617,local_frozen_track_geometry_linked_by_relative_distance
0.2375,2355.369,10223.143,617,local_frozen_track_geometry_linked_by_relative_distance
0.24,2346.936,10333.875,617,local_frozen_track_geometry_linked_by_relative_distance
0.2425,2340.783,10416.449,617,local_frozen_track_geometry_linked_by_relative_distance
0.245,2329.725,10545.929,617,local_frozen_track_geometry_linked_by_relative_distance
0.2475,2311.264,10748.577,617,local_frozen_track_geometry_linked_by_relative_distance
0.25,2298.252,10884.433,617,local_frozen_track_geometry_linked_by_relative_distance
0.2525,2289.66,10966.396,617,local_frozen_track_geometry_linked_by_relative_distance
0.255,2276.254,11057.239,617,local_frozen_track_geometry_linked_by_relative_distance
0.2575,2256.077,11185.487,617,local_frozen_track_geometry_linked_by_relative_distance
0.26,2224.85,11323.535,617,local_frozen_track_geometry_linked_by_relative_distance
0.2625,2180.173,11453.603,617,local_frozen_track_geometry_linked_by_relative_distance
0.265,2117.707,11573.623,617,local_frozen_track_geometry_linked_by_relative_distance
0.2675,2016.073,11692.724,617,local_frozen_track_geometry_linked_by_relative_distance
0.27,1883.072,11761.478,617,local_frozen_track_geometry_linked_by_relative_distance
0.2725,1787.798,11776.087,617,local_frozen_track_geometry_linked_by_relative_distance
0.275,1650.939,11722.235,617,local_frozen_track_geometry_linked_by_relative_distance
0.2775,1564.259,11657.011,617,local_frozen_track_geometry_linked_by_relative_distance
0.28,1438.176,11499.288,617,local_frozen_track_geometry_linked_by_relative_distance
0.2825,1403.911,11423.941,617,local_frozen_track_geometry_linked_by_relative_distance
0.285,1370.402,11342.44,617,local_frozen_track_geometry_linked_by_relative_distance
0.2875,1327.578,11220.581,617,local_frozen_track_geometry_linked_by_relative_distance
0.29,1288.205,11098.276,617,local_frozen_track_geometry_linked_by_relative_distance
0.2925,1243.574,10955.049,617,local_frozen_track_geometry_linked_by_relative_distance
0.295,1208.511,10842.367,617,local_frozen_track_geometry_linked_by_relative_distance
0.2975,1175.81,10737.877,617,local_frozen_track_geometry_linked_by_relative_distance
0.3,1138.65,10620.749,617,local_frozen_track_geometry_linked_by_relative_distance
0.3025,1092.199,10472.829,617,local_frozen_track_geometry_linked_by_relative_distance
0.305,1040.055,10304.742,617,local_frozen_track_geometry_linked_by_relative_distance
0.3075,1005.849,10196.047,617,local_frozen_track_geometry_linked_by_relative_distance
0.31,979.337,10113.2,617,local_frozen_track_geometry_linked_by_relative_distance
0.3125,944.631,10003.929,617,local_frozen_track_geometry_linked_by_relative_distance
0.315,889.52,9831.162,617,local_frozen_track_geometry_linked_by_relative_distance
0.3175,844.568,9693.618,617,local_frozen_track_geometry_linked_by_relative_distance
