driver,v1_centered_gap_s,v2_centered_gap_s,v2_minus_v1_gap_s
NOR,0.0,0.0,0.0
LEC,0.04931734508524244,0.017133800000010524,-0.03218354508523191
VER,0.3819459192729795,0.10885930000000599,-0.2730866192729735
PIA,0.4676210487279775,0.29439108000001113,-0.17322996872796637
HAM,0.6284535933692723,0.4023261500000075,-0.22612744336926482
RUS,1.114334818742634,0.872539450000005,-0.24179536874262908
ANT,1.1950553796243781,1.0279780800000111,-0.16707729962436701
TSU,1.2998441871392856,1.1791848300000112,-0.12065935713927445
