team,v1_centered_gap_s,v2_centered_gap_s,v2_minus_v1_gap_s
McLaren,0.0,0.0,0.0
Ferrari,0.0984991027301021,0.06253442999999947,-0.03596467273010262
Red Bull Racing,0.6029722841802112,0.49682652999999277,-0.10614575418021843
Mercedes,0.9165914633099845,0.8030632299999922,-0.11352823330999229
