axis_index,driver,team,lap,stint,compound,tyre_age,straight_id,max_speed_kph,p95_speed_kph,full_throttle_distance_share,drs_distance_share,acceleration_150_250_kph_per_100m,segment_time_s,segment_distance_m,feature_role
0,ALB,Williams,2,1,SOFT,2.0,S01,272.6502990722656,271.8574584960937,1.0,0.0,,0.9751233338362142,72.55191037911224,observed_straight_speed_control_proxy_not_engine_power_or_drag
0,ALB,Williams,2,1,SOFT,2.0,S02,293.0,293.0,0.6086956521739131,0.0,,1.4081132266471141,114.01014488146211,observed_straight_speed_control_proxy_not_engine_power_or_drag
0,ALB,Williams,2,1,SOFT,2.0,S03,340.9355163574219,339.3955535888672,0.9210526315789473,0.7263157894736842,47.62186728267543,12.978603736261785,979.4507901180153,observed_straight_speed_control_proxy_not_engine_power_or_drag
0,ALB,Williams,2,1,SOFT,2.0,S04,309.5108642578125,308.915283203125,1.0,1.0,,2.86279436830858,228.02028976292422,observed_straight_speed_control_proxy_not_engine_power_or_drag
0,ALB,Williams,2,1,SOFT,2.0,S05,243.8684539794922,242.65378952026367,0.9615384615384616,0.0,29.361737858921227,2.0484709124115383,129.55698281984328,observed_straight_speed_control_proxy_not_engine_power_or_drag
0,ALB,Williams,2,1,SOFT,2.0,S06,276.8597106933594,275.16033325195315,0.625,0.0,52.63149849138951,6.910304535383092,409.40006571070484,observed_straight_speed_control_proxy_not_engine_power_or_drag
1,ALB,Williams,3,1,SOFT,3.0,S01,275.1365661621094,274.6631134033203,1.0,0.0,,0.9671106867136099,72.4097554525614,observed_straight_speed_control_proxy_not_engine_power_or_drag
1,ALB,Williams,3,1,SOFT,3.0,S02,292.9554748535156,292.92601013183594,0.6086956521739131,0.0,,1.4066893372916873,113.78675856831077,observed_straight_speed_control_proxy_not_engine_power_or_drag
1,ALB,Williams,3,1,SOFT,3.0,S03,333.98736572265625,333.50832214355466,0.9263157894736842,0.6894736842105263,45.77446150884949,13.064680092098264,977.5316986095789,observed_straight_speed_control_proxy_not_engine_power_or_drag
1,ALB,Williams,3,1,SOFT,3.0,S04,305.07391357421875,304.40032958984375,1.0,1.0,,2.8793939118747276,227.57351713662155,observed_straight_speed_control_proxy_not_engine_power_or_drag
