axis_index,driver,team,lap,stint,compound,tyre_age,corner_id,speed_band,entry_speed_kph,minimum_speed_kph,exit_speed_kph,minimum_rel_distance,brake_onset_rel_distance,brake_to_minimum_m,throttle_recovery_rel_distance,minimum_to_throttle_recovery_m,segment_time_s,segment_distance_m,observed_brake_onset,feature_role
0,ALB,Williams,2,1,SOFT,2.0,P01,medium_speed,254.9955291748047,133.0,203.4149169921875,0.076,0.05,134.73926213263704,0.084,41.45823450234986,4.938027517812463,228.02028976292422,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P02,medium_speed,205.80038452148438,205.80038452148438,233.70582580566406,0.099,0.059,207.2911725117493,0.099,0.0,2.8802283519527583,181.37977594778062,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P03,high_speed,242.54701232910156,242.54701232910156,264.0414123535156,0.139,,,0.139,0.0,2.8440814492570925,202.10889319895554,False,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P04,high_speed,272.6502990722656,272.6502990722656,288.676025390625,0.192,,,0.192,0.0,2.1845679684820545,171.01521732219314,False,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P05,low_speed,284.99139404296875,93.0,119.0,0.276,0.246,155.46837938381196,0.289,67.36963106631852,5.061164379131713,191.74433457336806,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P06,low_speed,312.3573913574219,56.0,56.0,0.506,0.475,160.6506586966057,0.529,119.19242419425584,4.061413569364537,171.01521732219314,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P07,low_speed,57.0350456237793,57.0350456237793,177.0,0.507,0.475,165.83293800939944,0.529,114.0101448814621,5.013270890398615,150.28610007101824,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P08,medium_speed,177.0,177.0,264.5235290527344,0.537,0.497,207.2911725117493,0.537,0.0,3.216611774971021,196.92661388616182,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P09,high_speed,309.5108642578125,309.5108642578125,322.9455871582031,0.619,,,0.619,0.0,2.86845395337196,253.93168632689287,False,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P10,medium_speed,322.14312744140625,152.0,157.7942352294922,0.701,0.671,155.46837938381196,0.74,202.10889319895554,4.10703212967676,212.47345182454302,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P11,medium_speed,159.25160217285156,159.25160217285156,205.29122924804688,0.713,0.673,207.2911725117493,0.74,139.92154144543076,2.719737078235558,134.73926213263704,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P12,medium_speed,243.8684539794922,188.4542236328125,188.4542236328125,0.813,0.807,31.093675876762394,,,3.6901975864497953,253.93168632689287,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P13,low_speed,180.46923828125,83.12593841552734,128.1346435546875,0.832,0.807,129.5569828198433,,,5.107164321600715,165.8329380093994,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P14,low_speed,126.74313354492188,123.0,197.30740356445312,0.872,0.807,336.8481553315926,0.886,72.55191037911224,6.275028457891616,243.5671277013054,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P15,medium_speed,199.10610961914062,199.10610961914062,236.39254760742188,0.895,0.864,160.6506586966057,0.895,0.0,4.061265448627318,253.93168632689287,True,distance_axis_observed_corner_proxy_not_official_anchor
0,ALB,Williams,2,1,SOFT,2.0,P16,low_speed,235.7486572265625,114.0,119.0585708618164,0.967,0.948,98.46330694308091,0.993,134.73926213263704,3.790118464111947,155.46837938381196,True,distance_axis_observed_corner_proxy_not_official_anchor
