driver,lap,reference_green_median,reference_traffic_ratio,reference_target_role,position,missing,lap_frac,switches,observed_time_s,telemetry_samples,circuit_length_estimate_m,audited_traffic_ratio,audited_definition,cur_1.5,cur_1.75,cur_2.0,cur_2.25,cur_2.5,cur_q1,cur_q5,cur_q9,cross_1.5,cross_1.75,cross_2.0,cross_2.25,cross_2.5,cross_q1,cross_q5,cross_q9,ahead_1.5,ahead_1.75,ahead_2.0,ahead_2.25,ahead_2.5,ahead_q1,ahead_q5,ahead_q9,visual_prediction
PIA,1,237.0,0.01838986030000015,image_color_derived_proxy,1.0,0.8422116932306078,0.017543859649122806,0.048558421851289835,88.02299880981445,660,5369.57421875,0.15778830676939215,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.18814401972099226,0.18814401972099226,0.18814401972099226,0.18814401972099226,0.18814401972099226,0.00150187270025189,0.01865753408980696,0.1041780092329255,0.15778830676939215,0.15778830676939215,0.15778830676939215,0.15778830676939215,0.15778830676939215,0.002378225326538086,0.01293039321899414,0.050185441970825195,0.1641389199366007,0.1641389199366007,0.1641389199366007,0.1641389199366007,0.1641389199366007,0.020981512961471657,76.35574603436201,124.3344790979139,0.04623194748390602
PIA,2,239.0,0.00881783750000011,image_color_derived_proxy,1.0,0.0,0.03508771929824561,0.0,87.28099822998047,660,5369.57421875,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,72.81040048599243,74.24605894088745,75.65383863449097,0.0,0.0,0.0,0.0,0.0,57.48564334795442,76.36460741596858,120.00506543698572,0.007260804271619237
PIA,3,240.0,0.00403182610000016,image_color_derived_proxy,1.0,0.0,0.05263157894736842,0.0,87.06100082397461,648,5369.57421875,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,72.49430727958679,73.83316802978516,75.99775457382202,0.0,0.0,0.0,0.0,0.0,54.94874451610629,73.56275510083185,112.272269080133,0.0072493663300516875
PIA,4,240.0,0.00403182610000016,image_color_derived_proxy,1.0,0.0,0.07017543859649122,0.0,87.34750175476074,647,5369.57421875,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,71.04289770126343,71.73325967788696,72.65905165672302,0.0,0.0,0.0,0.0,0.0,53.50821702378294,70.6848969856579,111.7082388023843,0.007237928388484027
PIA,5,239.0,0.00881783750000011,image_color_derived_proxy,1.0,0.0,0.08771929824561403,0.0,87.03000211715698,664,5369.57421875,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,69.49335718154907,70.09394431114197,71.22058343887329,0.0,0.0,0.0,0.0,0.0,52.41298206515168,68.95763955103386,107.09538215734956,0.007226490446916478
PIA,6,240.0,0.00403182610000016,image_color_derived_proxy,1.0,0.0,0.10526315789473684,0.0,86.8504991531372,641,5369.57421875,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,67.46477341651917,68.41734647750854,69.26025485992432,0.0,0.0,0.0,0.0,0.0,50.78492430566577,67.23809675880499,103.31210216735023,0.007215052505348929
PIA,7,240.0,0.00403182610000016,image_color_derived_proxy,1.0,0.0,0.12280701754385964,0.0040650406504065045,98.59400367736816,739,5369.57421875,0.023723540046204365,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.0,0.0,0.0,0.0,,,,0.017161281338787908,0.01967663908910013,0.023723540046204365,0.0260969212959779,0.028531144090129988,8.619300842285156,67.22034549713135,82.78226661682129,0.0030427736563193287,0.003367332826442985,0.010538161741509795,0.010538161741509795,0.010538161741509795,53.776903351796996,90.14421087138663,176.5832129668403,0.019071536622960017
PIA,8,240.0,0.00403182610000016,image_color_derived_proxy,1.0,0.0,0.14035087719298245,0.0,147.49899673461914,1083,5369.57421875,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,89.75017738342285,95.48723864555359,99.45836782455444,0.0,0.0,0.0,0.0,0.0,52.8853991316709,84.85472050968038,152.71625639215324,0.0071921766222137196
PIA,9,239.0,0.00881783750000011,image_color_derived_proxy,1.0,0.0,0.15789473684210525,0.000942507068803016,142.79500198364258,1062,5369.57421875,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,72.22791028022766,134.14797234535217,141.22153878211975,0.0,0.0,0.0,0.0,0.0,53.153784107903746,100.55696775810327,200.0063737884479,0.00718073868064617
PIA,10,239.0,0.00881783750000011,image_color_derived_proxy,1.0,0.0,0.17543859649122806,0.0036900369003690036,141.0320053100586,1085,5369.57421875,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.15996372694545577,0.15996372694545577,0.15996372694545577,0.15996372694545577,0.15996372694545577,0.1150434742803159,0.582872709794478,0.6685882119571461,0.0,0.0,0.0,0.0,0.0,115.39083552360535,119.20885848999023,132.42436575889587,0.0,0.0,0.0,0.0,0.0,65.8529005669722,106.79592348104362,251.8961807429677,0.03835369314777881
