driver,lap,reference_green_median,reference_traffic_ratio,reference_target_role,position,missing,lap_frac,switches,observed_time_s,telemetry_samples,circuit_length_estimate_m,audited_traffic_ratio,audited_definition,cur_1.5,cur_1.75,cur_2.0,cur_2.25,cur_2.5,cur_q1,cur_q5,cur_q9,cross_1.5,cross_1.75,cross_2.0,cross_2.25,cross_2.5,cross_q1,cross_q5,cross_q9,ahead_1.5,ahead_1.75,ahead_2.0,ahead_2.25,ahead_2.5,ahead_q1,ahead_q5,ahead_q9,visual_prediction
NOR,1,37.0,0.9755921403000001,image_color_derived_proxy,3.0,0.006257423682274255,0.017241379310344827,0.07520891364902507,94.288001537323,719,5216.3515625,0.9937425763177258,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.9932653149911985,0.9932653149911985,0.9932653149911985,0.9932653149911985,0.9932653149911985,0.014886363663456657,0.14784321542513573,0.5684601355173982,0.9937425763177258,0.9937425763177258,0.9937425763177258,0.9937425763177258,0.9937425763177258,0.015033960342407227,0.4389917850494385,1.1045866012573242,0.9857033429722284,1.0,1.0,1.0,1.0,0.014964633337861176,0.4416694084260398,1.066786801155083,0.9966707767240435
NOR,2,29.0,1.0,image_color_derived_proxy,3.0,0.0,0.034482758620689655,0.0,90.02299499511719,683,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.9513124719320591,0.9910578203342872,0.992102017653257,0.992102017653257,0.992102017653257,0.7761254262115995,1.0488921405420293,1.3928602753056607,1.0,1.0,1.0,1.0,1.0,0.7356786727905273,1.0024116039276123,1.2315380573272705,0.9937127812429923,1.0,1.0,1.0,1.0,0.7237737276479185,0.9951374826101652,1.2476937282477105,0.9987009934884804
NOR,3,33.0,0.9947361859,image_color_derived_proxy,3.0,0.0,0.05172413793103448,0.0,89.99300384521484,680,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.81843019893635,0.948084841109852,0.9966775195602151,0.9966775195602151,0.9966775195602151,0.9856825692313059,1.210390848509023,1.6118601811953701,0.9979886504781501,1.0,1.0,1.0,1.0,0.998732328414917,1.1174952983856201,1.3257834911346436,0.9568854831261552,1.0,1.0,1.0,1.0,0.9855338944806992,1.10932268026684,1.3607276677243088,1.0
NOR,4,29.0,1.0,image_color_derived_proxy,3.0,0.0,0.06896551724137931,0.0,89.97400665283203,676,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.7561517733757774,0.9546758070924347,0.9969102187678309,0.9969102187678309,0.9969102187678309,1.0568165886331593,1.314571122145736,1.657319377479753,0.868917727169161,1.0,1.0,1.0,1.0,1.181380271911621,1.3162362575531006,1.5163333415985107,0.8384311361211789,0.9764376962009818,1.0,1.0,1.0,1.1665033609162938,1.3159590539849215,1.560732625787551,1.0
NOR,5,50.0,0.9133739921,image_color_derived_proxy,3.0,0.0,0.08620689655172414,0.0,89.94400024414062,680,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.7007360031138827,0.9159810930865186,0.9813550728679107,0.9942964748700923,0.9955750244504689,1.0037281814130765,1.3741283519847973,1.728015661239624,0.9488570837228161,1.0,1.0,1.0,1.0,0.9472448825836182,1.295727252960205,1.4209237098693848,0.9047073567283109,0.9759739047971269,1.0,1.0,1.0,0.9317109185387525,1.234404230088448,1.4948421688255336,1.0
NOR,6,32.0,0.9995221973000001,image_color_derived_proxy,3.0,0.0,0.10344827586206896,0.0,89.9469985961914,672,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.5660443860456559,0.8537917085806113,0.9637675553762393,0.9966647023624685,0.9966647023624685,1.2317722524188168,1.445385215084682,1.8112536342877776,0.9728617961373025,1.0,1.0,1.0,1.0,1.2447848320007324,1.3069696426391602,1.4538438320159912,0.8641532996896485,0.9860695393956657,1.0,1.0,1.0,1.1970606016151881,1.2784779191834148,1.5680666991470662,1.0
NOR,7,39.0,0.9660201175,image_color_derived_proxy,3.0,0.0,0.1206896551724138,0.0,89.95000076293945,665,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.4057587212269729,0.6022012497411455,0.7858920842429552,0.9162646103142585,0.9708726691516059,1.2629791259765624,1.6225337001159856,2.188205941391801,0.6777209605589992,0.9985214072369323,1.0,1.0,1.0,1.1220512390136719,1.4530787467956543,1.5659492015838623,0.7107948361679778,0.9301389463708701,0.9846469780791254,1.0,1.0,1.077950588669429,1.3936447580652793,1.6978312740452386,0.9695580976731837
NOR,8,29.0,1.0,image_color_derived_proxy,3.0,0.0,0.13793103448275862,0.0,89.6380033493042,693,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.2025814992913406,0.6243893552978655,0.8935607861467613,0.9805439493027824,0.996162341877005,1.3067577951687743,1.658085353267176,2.0155876306824316,0.12004950322557946,0.9641446376983024,1.0,1.0,1.0,1.495189905166626,1.5907225608825684,1.728978157043457,0.3192283845417525,0.8048374068762407,0.9022959486482818,0.967312989040938,1.0,1.3974381689838427,1.5662906365168294,1.974551888125608,1.0
NOR,9,29.0,1.0,image_color_derived_proxy,3.0,0.0,0.15517241379310345,0.0,89.65500068664551,673,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.295042059956931,0.8129719480512739,0.9650103219780193,0.9942780658355346,0.9942780658355346,1.14026612312563,1.6154923766623925,1.832271805550288,0.0,0.8348447829244527,1.0,1.0,1.0,1.5991337299346924,1.6961851119995117,1.763772964477539,0.09867826729477802,0.7356868170798958,0.8826947332095721,0.9566449479322867,0.9982265306395541,1.5004149000124734,1.655698411911905,2.0377229752937542,0.9906710560555129
NOR,10,50.0,0.9133739921,image_color_derived_proxy,3.0,0.0,0.1724137931034483,0.0,89.76300239562988,682,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.1119058367356956,0.3317736899023866,0.6306607747383141,0.8476766463612156,0.9295367122981093,1.4556179097007587,1.8930269690177117,2.344198373443617,0.0,0.446275158348095,1.0,1.0,1.0,1.6586861610412598,1.786881685256958,1.8479363918304443,0.04380420879711757,0.6003029243652982,0.8286153443572385,0.9218721012101888,0.9815291277943524,1.566392423273756,1.6953819406598156,2.1881590907850743,0.8129854260276276
